UID,CID,Quality,Rep,EF,Interval
34,7,0,0,2.0920000076293945,0
34,8,0,0,2.0920000076293945,0
6,47,4,2,2.656799793243408,2
6,43,4,2,2.656799793243408,2
6,37,4,2,2.656799793243408,2
6,35,4,2,2.656799793243408,2
6,27,4,1,2.578399896621704,1
6,29,4,1,2.578399896621704,1
6,26,4,1,2.578399896621704,1
6,25,4,1,2.578399896621704,1
6,28,4,1,2.578399896621704,1
6,30,4,1,2.578399896621704,1
6,31,4,1,2.578399896621704,1
6,33,4,1,2.578399896621704,1
6,32,4,1,2.578399896621704,1
6,43,4,2,2.5007994174957275,2
6,43,5,3,2.600799322128296,2
6,72,4,1,2.578399896621704,1
6,73,4,1,2.578399896621704,1
6,74,4,1,2.578399896621704,1
6,75,4,1,2.578399896621704,1
6,79,4,1,2.578399896621704,1
6,78,4,1,2.578399896621704,1
6,76,4,1,2.578399896621704,1
6,77,4,1,2.578399896621704,1
6,80,4,1,2.578399896621704,1
6,81,0,0,2.0920000076293945,0
6,82,4,1,2.578399896621704,1
6,83,4,1,2.578399896621704,1
6,64,0,0,2.1703999042510986,0
6,66,4,2,2.656799793243408,2
6,67,4,2,2.656799793243408,2
6,68,0,0,2.1703999042510986,0
6,69,4,2,2.656799793243408,2
6,70,4,2,2.656799793243408,2
6,71,4,2,2.656799793243408,2
6,54,4,2,2.2487998008728027,2
6,55,5,3,2.7567996978759766,2
6,61,5,3,2.7567996978759766,2
6,62,5,3,2.7567996978759766,2
6,63,5,3,2.7567996978759766,2
6,56,5,3,2.7567996978759766,2
6,57,5,3,2.7567996978759766,2
6,58,3,0,2.6735997200012207,0
6,59,5,3,2.7567996978759766,2
6,60,5,3,2.7567996978759766,2
6,65,3,0,2.6735997200012207,0
15,61,5,6,3.0567994117736816,27
15,59,5,6,3.0567994117736816,27
15,65,3,0,2.973599433898926,0
15,67,5,6,3.0567994117736816,27
15,68,5,6,3.0567994117736816,27
15,69,3,0,2.973599433898926,0
15,71,5,6,3.0567994117736816,27
15,72,5,6,3.0567994117736816,27
3,4,3,0,1.4736000299453735,0
6,7,4,2,2.327199697494507,2
3,13,4,2,2.2487998008728027,2
3,14,0,0,1.7623999118804932,0
3,14,0,0,1.3543999195098877,0
3,14,4,1,1.4327999353408813,1
6,2,5,3,2.7567996978759766,2
